adjusted close,close,date,dividend amount,high,low,open,split coefficient,volume
1250.0000,1250.0000,2020-05-12,0.0000,1250.0000,1250.0000,1250.0000,1.0000,1
1200.0000,1200.0000,2020-05-11,0.0000,1200.0000,1200.0000,1200.0000,1.0000,0
1200.0000,1200.0000,2020-05-08,0.0000,1200.0000,1200.0000,1200.0000,1.0000,0
1200.0000,1200.0000,2020-05-07,20.0000,1200.0000,1200.0000,1200.0000,1.0000,0
1180.3279,1200.0000,2020-05-06,0.0000,1200.0000,1200.0000,1200.0000,1.0000,0
1180.3279,1200.0000,2020-05-05,0.0000,1200.0000,1200.0000,1200.0000,1.0000,0
1180.3279,1200.0000,2020-05-04,0.0000,1200.0000,1200.0000,1200.0000,1.0000,0
1180.3279,1200.0000,2020-05-01,0.0000,1200.0000,1200.0000,1200.0000,1.0000,0
1180.3279,1200.0000,2020-04-30,0.0000,1200.0000,1200.0000,1200.0000,1.0000,0
1180.3279,1200.0000,2020-04-29,0.0000,1200.0000,1200.0000,1200.0000,1.0000,1
1131.1475,1150.0000,2020-04-28,0.0000,1150.0000,1150.0000,1150.0000,1.0000,0
1131.1475,1150.0000,2020-04-27,0.0000,1150.0000,1150.0000,1150.0000,1.0000,0
1131.1475,1150.0000,2020-04-24,0.0000,1150.0000,1150.0000,1150.0000,1.0000,0
1131.1475,1150.0000,2020-04-23,0.0000,1150.0000,1150.0000,1150.0000,1.0000,0
1131.1475,1150.0000,2020-04-22,0.0000,1150.0000,1150.0000,1150.0000,1.0000,0
1131.1475,1150.0000,2020-04-21,0.0000,1150.0000,1150.0000,1150.0000,1.0000,0
1131.1475,1150.0000,2020-04-20,0.0000,1150.0000,1150.0000,1150.0000,1.0000,0
1131.1475,1150.0000,2020-04-17,0.0000,1150.0000,1150.0000,1150.0000,1.0000,0
1131.1475,1150.0000,2020-04-16,0.0000,1150.0000,1150.0000,1150.0000,1.0000,0
1131.1475,1150.0000,2020-04-15,0.0000,1150.0000,1150.0000,1150.0000,1.0000,0
1131.1475,1150.0000,2020-04-14,0.0000,1150.0000,1150.0000,1150.0000,1.0000,8
1180.3279,1200.0000,2020-04-13,0.0000,1200.0000,1200.0000,1200.0000,1.0000,0
1180.3279,1200.0000,2020-04-09,0.0000,1200.0000,1200.0000,1200.0000,1.0000,0
